Family,Genus,Species,Authority,Chromosome number,Ploidy level,Estimation method,Voucher,1C (pg),Original Reference,Lifecycle,Group,Paper,Name,History of Polyploidy,Repeated Sample,Non-multiple,Minimum,Missing Data,Possible Hybrid,Both,Chromploid
FABACEAE,Acacia,nilotica,Delile,26,2,Fe,N,1.2,"Mukerjee and Sharma, 1993 (Ref. 289)",P,Eudicot,1997,Acacia_nilotica,1,,,1,,,1,1
FABACEAE,Acacia,nubica,Benth.,56,4,FC:PI,N,0.85,"Bukhari, 1997 (Ref. 320)",P,Eudicot,2000,Acacia_nubica,,,,1,,,1,1
FABACEAE,Acacia,orites,Pedley,26,2,Fe,N,1.45,"Mukherjee and Sharma, 1995 (Ref. 364)",P,Eudicot,2000,Acacia_orites,,,,1,,,1,1
FABACEAE,Acacia,oswaldii,F.Muell.,,,FC:PI,,0.92,"Morgan & Westoby, 2005 (Ref. 526)",P,Eudicot,2011,Acacia_oswaldii,,,,1,,,,0
FABACEAE,Acacia,podalyriifolia,A.Cunn.,26,2,Fe,N,1.65,"Mukherjee and Sharma, 1995 (Ref. 364)",P,Eudicot,2000,Acacia_podalyriifolia,,,,1,,,1,1
FABACEAE,Acacia,polycantha,Willd.,52,4,FC:PI,N,0.55,"Bukhari, 1997 (Ref. 320)",P,Eudicot,2000,Acacia_polycantha,,,,1,,,1,1
FABACEAE,Acacia,pycnantha,Benth.,26,2,Fe,N,1.78,"Mukherjee and Sharma, 1995 (Ref. 364)",P,Eudicot,2000,Acacia_pycnantha,,,,1,,,1,1
FABACEAE,Acacia,raddiana,(Savi.) Brenan,78,6,FC:PI,N,0.95,"Bukhari, 1997 (Ref. 320)",P,Eudicot,2000,Acacia_raddiana,1,,,1,,,1,1
FABACEAE,Acacia,raddiana,Savi,104,8,Fe,N,1.9,"Mukerjee and Sharma, 1993 (Ref. 289)",P,Eudicot,1997,Acacia_raddiana,1,,,0,,,1,0
FABACEAE,Acacia,salicina,Lindl.,26,2,Fe,N,1.33,"Mukerjee and Sharma, 1993 (Ref. 289)",P,Eudicot,1997,Acacia_salicina,,,,1,,,1,1
FABACEAE,Acacia,senegal,Willd.,26,2,Fe,N,1.5,"Mukerjee and Sharma, 1993 (Ref. 289)",P,Eudicot,1997,Acacia_senegal,,,,1,,,1,1
FABACEAE,Acacia,seyal,(Del.),104,8,FC:PI,N,1.08,"Bukhari, 1997 (Ref. 320)",P,Eudicot,2000,Acacia_seyal,,,,1,,,1,1
FABACEAE,Acacia,sieberana,DC.,26,2,FC:PI,N,0.6,"Bukhari, 1997 (Ref. 320)",P,Eudicot,2000,Acacia_sieberana,,,,1,,,1,1
FABACEAE,Acacia,simsii,A.Cunn. ex Benth.,26,2,Fe,N,2.1,"Mukherjee and Sharma, 1995 (Ref. 364)",P,Eudicot,2000,Acacia_simsii,,,,1,,,1,1
FABACEAE,Acacia,smallii,Isely,,,FC:PI,N,0.86,"Sliwinska et al., 2009 (Ref. 624)",P,Eudicot,2012,Acacia_smallii,,,,1,,,,0
FABACEAE,Acacia,sophorae,Benth.,26,2,FC:PI,N,0.83,"Bukhari, 1997 (Ref. 320)",P,Eudicot,2000,Acacia_sophorae,,,,1,,,1,1
FABACEAE,Acacia,suaveolens,Willd.,,,FC:PI,,0.9,"Morgan & Westoby, 2005 (Ref. 526)",P,Eudicot,2011,Acacia_suaveolens,,,,1,,,,0
FABACEAE,Acacia,suberosa,A.Cunn.,26,2,Fe,N,1.65,"Mukerjee and Sharma, 1993 (Ref. 289)",P,Eudicot,1997,Acacia_suberosa,,,,1,,,1,1
FABACEAE,Acacia,tortilis,(Forssk.) Hayne,52,4,FC:PI,N,0.53,"Bukhari, 1997 (Ref. 320)",P,Eudicot,2000,Acacia_tortilis,1,,,0,,,1,0
FABACEAE,Acacia,tortilis,Forsk. Hayne,26,2,FC:PI,Y,0.7,"Ouarda et al., 2009 (Ref. 659)",P,Eudicot,2012,Acacia_tortilis,1,,,1,,,1,1
FABACEAE,Acacia,tortilis,(Forssk.) Hayne,104,8,FC:PI,N,1.1,"Bukhari, 1997 (Ref. 320)",P,Eudicot,2000,Acacia_tortilis,1,,,0,,,1,0
FABACEAE,Acacia,tortilis,Hayne,78,6,Fe,N,2.05,"Mukerjee and Sharma, 1993 (Ref. 289)",P,Eudicot,1997,Acacia_tortilis,1,,,0,,,1,0
FABACEAE,Acacia,verek,Guill. & Perr.,26,2,Fe,N,1.3,"Mukerjee and Sharma, 1993 (Ref. 289)",P,Eudicot,1997,Acacia_verek,,,,1,,,1,1
FABACEAE,Acacia,victoriae,Benth.,26,2,Fe,N,2.05,"Mukerjee and Sharma, 1993 (Ref. 289)",P,Eudicot,1997,Acacia_victoriae,,,,1,,,1,1
FABACEAE,Acacia,wilhelmiana,F.Muell.,,,FC:PI,,0.81,"Morgan & Westoby, 2005 (Ref. 526)",P,Eudicot,2011,Acacia_wilhelmiana,,,,1,,,,0
ROSACEAE,Acaena,magellanica,(Lam.) Vahl,,,Fe,N,0.33,"Bennett MD, Smith JB, Lewis Smith RI., 1982 (Ref. 105)",P,Eudicot,1982,Acaena_magellanica,,,,1,,,,0
ORCHIDACEAE,Acanthephippium,sylhetense,Lindl.,40,,Fe,N,7.48,"Narayan et al., 1989 (Ref. 250)",P,Monocot,1995,Acanthephippium_sylhetense,,,,1,,,,0
ASTERACEAE,Acantholepis,orientalis,Less.,14,2,FC:PI,Y,3.26,"Garnatje et al., 2004 (Ref. 502)",A,Eudicot,2011,Acantholepis_orientalis,,,,1,,,1,1
ACANTHACEAE,Acanthus,mollis,L.,,,FC:PI,N,0.97,"Vesely et al., 2011 (Ref. 675)",P,Eudicot,2012,Acanthus_mollis,,,,1,,,,0
